incident_id,created_date,resolved_date,priority,category,assigned_team,sla_breached,reopen_count,resolution_minutes
49,2024-03-09 16:56:00,2024-03-09 17:53:00,Low,Application,Security_Team,0,0,57
50,2024-05-19 07:16:00,2024-05-19 09:22:00,Low,Application,App_Team,0,2,126
51,2024-04-30 19:55:00,2024-05-01 20:32:00,Low,Application,Security_Team,1,1,1477
52,2024-02-25 16:34:00,2024-02-26 05:57:00,Medium,Application,App_Team,1,0,803
53,2024-01-05 02:09:00,2024-01-05 12:02:00,Medium,Network,Security_Team,1,1,593
54,2024-04-25 10:30:00,2024-04-25 11:53:00,Low,Application,Security_Team,0,0,83
55,2024-06-20 01:10:00,2024-06-20 04:30:00,Medium,Application,Security_Team,1,1,200
56,2024-03-29 12:47:00,2024-03-29 12:49:00,Medium,Security,Security_Team,0,0,2
57,2024-06-21 04:15:00,2024-06-21 07:29:00,Medium,Application,Infra_Team,1,0,194
58,2024-02-13 08:52:00,2024-02-13 09:37:00,Medium,Database,DB_Team,0,0,45
59,2024-04-23 22:29:00,2024-04-24 04:12:00,High,Database,Support_Team,1,0,343
60,2024-03-26 18:59:00,2024-03-26 23:22:00,Medium,Application,App_Team,1,0,263
61,2024-01-17 00:27:00,2024-01-17 05:52:00,Low,Application,Security_Team,0,2,325
62,2024-05-01 22:31:00,2024-05-02 06:46:00,Low,Database,Support_Team,0,0,495
63,2024-06-08 05:38:00,2024-06-08 07:38:00,Medium,Network,DB_Team,1,0,120
64,2024-06-23 00:43:00,2024-06-23 06:21:00,Medium,Application,Infra_Team,1,0,338
65,2024-06-26 09:30:00,2024-06-26 10:08:00,Low,Application,Security_Team,0,0,38
66,2024-06-15 13:47:00,2024-06-15 18:33:00,High,Database,App_Team,1,0,286
67,2024-06-01 11:12:00,2024-06-01 12:08:00,Medium,Application,Infra_Team,0,0,56
68,2024-05-29 14:48:00,2024-05-31 17:43:00,Low,Application,Support_Team,1,0,3055
69,2024-03-05 15:38:00,2024-03-06 05:00:00,Low,Application,DB_Team,1,1,802
70,2024-03-04 19:17:00,2024-03-05 10:54:00,Low,Application,DB_Team,1,0,937
71,2024-03-01 10:44:00,2024-03-01 22:44:00,Low,Application,App_Team,1,0,720
72,2024-06-10 16:53:00,2024-06-11 02:05:00,Low,Access,Support_Team,0,0,552
73,2024-01-27 22:45:00,2024-01-28 20:23:00,Low,Application,DB_Team,1,0,1298
74,2024-01-08 13:23:00,2024-01-08 15:51:00,Low,Network,App_Team,0,0,148
75,2024-02-10 15:35:00,2024-02-11 02:18:00,Low,Network,DB_Team,1,0,643
76,2024-01-28 16:00:00,2024-01-28 16:06:00,Medium,Security,App_Team,0,0,6
77,2024-03-18 18:30:00,2024-03-18 20:02:00,Medium,Application,DB_Team,1,0,92
78,2024-05-15 04:14:00,2024-05-15 05:22:00,Medium,Application,Security_Team,1,0,68
79,2024-03-26 06:22:00,2024-03-26 12:14:00,Low,Application,Support_Team,0,1,352
80,2024-03-27 15:55:00,2024-03-27 16:45:00,High,Application,App_Team,1,0,50
81,2024-05-05 04:55:00,2024-05-05 10:05:00,High,Network,DB_Team,1,1,310
82,2024-02-24 13:21:00,2024-02-24 19:49:00,Medium,Application,Support_Team,1,1,388
83,2024-04-19 08:14:00,2024-04-19 12:45:00,Medium,Network,Security_Team,1,0,271
84,2024-03-29 03:52:00,2024-03-29 04:27:00,Medium,Application,Infra_Team,0,2,35
85,2024-04-25 20:00:00,2024-04-26 00:58:00,Low,Security,Infra_Team,0,0,298
86,2024-03-28 23:00:00,2024-03-29 06:46:00,Medium,Security,Security_Team,1,2,466
87,2024-03-22 19:11:00,2024-03-23 01:20:00,Medium,Application,Support_Team,1,0,369
88,2024-04-01 15:06:00,2024-04-01 16:09:00,Medium,Security,DB_Team,1,1,63
89,2024-02-24 07:46:00,2024-02-24 07:49:00,Medium,Application,Security_Team,0,0,3
90,2024-01-27 07:12:00,2024-01-27 09:22:00,High,Database,DB_Team,1,0,130
91,2024-03-06 10:10:00,2024-03-06 11:13:00,Medium,Database,Support_Team,1,0,63
92,2024-04-13 05:38:00,2024-04-13 19:45:00,Low,Application,DB_Team,1,0,847
93,2024-01-12 22:24:00,2024-01-13 01:26:00,Low,Database,Infra_Team,0,0,182
94,2024-01-08 06:18:00,2024-01-08 07:55:00,Medium,Application,Infra_Team,1,0,97
95,2024-03-19 14:15:00,2024-03-20 06:43:00,Low,Application,Infra_Team,1,0,988
96,2024-06-01 16:20:00,2024-06-02 03:41:00,Medium,Application,Support_Team,1,0,681
97,2024-03-09 05:46:00,2024-03-09 15:50:00,Low,Network,Security_Team,1,0,604
98,2024-02-20 17:16:00,2024-02-20 20:01:00,Medium,Access,App_Team,1,0,165
99,2024-02-06 06:16:00,2024-02-06 06:49:00,High,Security,Security_Team,1,1,33
100,2024-01-16 02:30:00,2024-01-16 15:51:00,Medium,Application,DB_Team,1,0,801
101,2024-06-07 19:58:00,2024-06-08 05:28:00,Medium,Application,Security_Team,1,0,570
102,2024-04-15 01:03:00,2024-04-15 11:22:00,Low,Database,Support_Team,1,0,619
103,2024-03-06 19:36:00,2024-03-06 22:12:00,Low,Application,Support_Team,0,0,156
104,2024-05-10 22:32:00,2024-05-11 00:30:00,Medium,Application,Support_Team,1,0,118
105,2024-02-18 05:44:00,2024-02-18 07:48:00,High,Application,DB_Team,1,0,124
106,2024-05-07 18:30:00,2024-05-09 04:21:00,Low,Network,Support_Team,1,2,2031
107,2024-03-20 19:26:00,2024-03-20 19:37:00,Low,Application,App_Team,0,1,11
108,2024-03-11 04:20:00,2024-03-12 21:08:00,Low,Database,Support_Team,1,2,2448
109,2024-04-21 00:49:00,2024-04-21 06:39:00,Low,Database,Infra_Team,0,1,350
110,2024-05-11 11:57:00,2024-05-11 13:03:00,Medium,Application,Infra_Team,1,0,66
111,2024-03-10 20:54:00,2024-03-11 13:24:00,Medium,Application,Support_Team,1,0,990
112,2024-04-10 15:21:00,2024-04-11 01:28:00,Low,Application,DB_Team,1,0,607
113,2024-05-05 17:14:00,2024-05-06 04:41:00,Low,Application,Support_Team,1,1,687
114,2024-05-15 03:10:00,2024-05-15 11:55:00,Low,Application,Security_Team,0,1,525
115,2024-01-14 02:26:00,2024-01-14 09:35:00,Medium,Application,Security_Team,1,0,429
116,2024-04-28 04:22:00,2024-04-28 07:02:00,Medium,Application,Security_Team,1,0,160
117,2024-01-01 04:07:00,2024-01-01 14:03:00,Medium,Application,App_Team,1,1,596
118,2024-02-13 04:15:00,2024-02-13 18:55:00,Medium,Application,App_Team,1,0,880
119,2024-02-05 00:28:00,2024-02-05 01:51:00,High,Application,DB_Team,1,1,83
120,2024-03-24 08:02:00,2024-03-24 22:33:00,Low,Application,Support_Team,1,1,871
121,2024-02-21 12:43:00,2024-02-21 15:11:00,Medium,Database,App_Team,1,0,148
122,2024-06-02 19:11:00,2024-06-02 20:22:00,Low,Application,Infra_Team,0,0,71
123,2024-03-02 13:04:00,2024-03-02 13:08:00,High,Access,DB_Team,0,0,4
124,2024-01-13 08:26:00,2024-01-13 17:49:00,Low,Application,Infra_Team,0,0,563
125,2024-06-26 19:18:00,2024-06-27 00:39:00,Medium,Application,Support_Team,1,0,321
126,2024-04-18 13:54:00,2024-04-18 14:21:00,Low,Database,Support_Team,0,1,27
127,2024-06-19 15:56:00,2024-06-19 17:33:00,Low,Network,Support_Team,0,0,97
128,2024-01-03 11:00:00,2024-01-03 19:49:00,Medium,Network,Infra_Team,1,0,529
129,2024-04-12 01:42:00,2024-04-12 07:33:00,Medium,Application,Support_Team,1,0,351
130,2024-06-21 14:43:00,2024-06-21 15:02:00,Medium,Application,Security_Team,0,0,19
131,2024-02-13 17:43:00,2024-02-14 03:03:00,Low,Network,App_Team,0,0,560
132,2024-04-26 10:29:00,2024-04-27 02:01:00,Low,Security,DB_Team,1,1,932
133,2024-01-04 17:24:00,2024-01-04 19:44:00,Medium,Database,Security_Team,1,1,140
134,2024-05-19 07:35:00,2024-05-19 14:31:00,Low,Security,Infra_Team,0,0,416
135,2024-06-02 16:10:00,2024-06-02 16:28:00,Low,Network,DB_Team,0,2,18
136,2024-05-26 06:11:00,2024-05-26 07:14:00,High,Application,Support_Team,1,0,63
137,2024-05-31 05:06:00,2024-05-31 07:08:00,Low,Access,Support_Team,0,0,122
138,2024-04-03 05:00:00,2024-04-03 14:33:00,Low,Network,App_Team,0,0,573
139,2024-04-20 21:55:00,2024-04-21 04:23:00,Medium,Network,App_Team,1,0,388
140,2024-02-01 17:01:00,2024-02-03 06:11:00,Low,Application,App_Team,1,0,2230
141,2024-05-06 21:45:00,2024-05-07 07:26:00,Low,Security,DB_Team,0,0,581
142,2024-04-20 12:56:00,2024-04-20 16:11:00,Medium,Application,Infra_Team,1,0,195
143,2024-02-22 12:45:00,2024-02-22 18:01:00,Low,Security,Security_Team,0,1,316
144,2024-05-23 20:12:00,2024-05-23 20:56:00,Medium,Access,Security_Team,0,0,44
145,2024-04-28 10:32:00,2024-04-28 10:46:00,Medium,Network,Support_Team,0,1,14
146,2024-04-25 14:01:00,2024-04-25 17:52:00,Medium,Database,Infra_Team,1,0,231
147,2024-05-24 20:41:00,2024-05-25 00:44:00,Medium,Application,App_Team,1,0,243
148,2024-06-21 16:37:00,2024-06-21 18:53:00,Low,Application,DB_Team,0,0,136
149,2024-01-02 21:49:00,2024-01-03 00:52:00,Medium,Application,DB_Team,1,0,183
150,2024-02-10 09:44:00,2024-02-10 15:46:00,Medium,Application,App_Team,1,0,362
151,2024-05-01 03:35:00,2024-05-01 09:12:00,Low,Database,Security_Team,0,0,337
152,2024-02-28 03:39:00,2024-02-28 12:02:00,Low,Database,Security_Team,0,1,503
153,2024-03-17 19:30:00,2024-03-17 21:38:00,Low,Application,App_Team,0,0,128
154,2024-04-15 11:15:00,2024-04-15 23:35:00,Low,Database,Security_Team,1,0,740
155,2024-01-26 07:04:00,2024-01-26 12:21:00,Medium,Security,DB_Team,1,1,317
156,2024-06-18 16:52:00,2024-06-18 19:48:00,Medium,Application,Security_Team,1,0,176
157,2024-03-31 18:52:00,2024-03-31 22:32:00,Medium,Application,DB_Team,1,0,220
158,2024-05-27 11:54:00,2024-05-27 17:34:00,High,Application,DB_Team,1,0,340
159,2024-03-30 10:02:00,2024-03-31 05:31:00,Medium,Application,DB_Team,1,1,1169
160,2024-02-14 03:55:00,2024-02-14 04:46:00,Low,Network,Infra_Team,0,0,51
161,2024-06-18 10:10:00,2024-06-18 10:23:00,Low,Application,App_Team,0,0,13
162,2024-06-28 16:32:00,2024-06-29 06:19:00,Low,Application,Security_Team,1,0,827
163,2024-06-05 07:59:00,2024-06-05 12:35:00,Low,Database,Security_Team,0,1,276
164,2024-05-02 08:02:00,2024-05-02 18:08:00,Medium,Application,Support_Team,1,0,606
165,2024-03-08 22:51:00,2024-03-09 00:21:00,Low,Application,Security_Team,0,0,90
166,2024-04-04 14:39:00,2024-04-04 20:35:00,Medium,Application,Security_Team,1,1,356
167,2024-05-01 17:57:00,2024-05-02 03:42:00,Medium,Application,App_Team,1,0,585
168,2024-01-20 10:18:00,2024-01-20 12:38:00,Low,Application,Infra_Team,0,1,140
169,2024-03-20 03:52:00,2024-03-21 07:48:00,Medium,Database,App_Team,1,0,1676
170,2024-04-30 23:52:00,2024-05-01 00:47:00,High,Application,Security_Team,1,1,55
171,2024-06-16 03:33:00,2024-06-16 19:34:00,Medium,Database,Support_Team,1,1,961
172,2024-06-06 12:48:00,2024-06-07 05:28:00,Low,Application,Support_Team,1,1,1000
173,2024-06-24 14:36:00,2024-06-24 19:15:00,High,Application,Support_Team,1,0,279
174,2024-05-05 04:45:00,2024-05-05 15:15:00,Medium,Application,Security_Team,1,0,630
175,2024-06-22 11:43:00,2024-06-23 14:49:00,Low,Application,App_Team,1,0,1626
176,2024-06-20 15:47:00,2024-06-20 15:54:00,Low,Network,Support_Team,0,1,7
177,2024-03-01 00:28:00,2024-03-01 05:04:00,Low,Database,Support_Team,0,2,276
178,2024-05-22 12:12:00,2024-05-22 18:11:00,Medium,Application,DB_Team,1,0,359
179,2024-03-06 15:57:00,2024-03-06 16:38:00,High,Database,DB_Team,1,0,41
180,2024-01-16 23:23:00,2024-01-17 12:46:00,Low,Access,Security_Team,1,1,803
181,2024-05-15 21:37:00,2024-05-16 00:44:00,High,Application,App_Team,1,0,187
182,2024-05-13 23:37:00,2024-05-14 07:48:00,Low,Database,DB_Team,0,0,491
183,2024-01-18 16:24:00,2024-01-18 21:11:00,Medium,Application,Infra_Team,1,0,287
184,2024-05-29 02:49:00,2024-05-29 15:56:00,Medium,Security,App_Team,1,0,787
185,2024-05-25 20:25:00,2024-05-25 21:09:00,Medium,Application,DB_Team,0,0,44
186,2024-04-29 23:31:00,2024-04-30 08:07:00,Medium,Application,DB_Team,1,0,516
187,2024-01-09 01:23:00,2024-01-09 02:01:00,Medium,Access,DB_Team,0,0,38
188,2024-02-05 13:21:00,2024-02-05 20:35:00,Medium,Access,Support_Team,1,0,434
189,2024-03-04 11:26:00,2024-03-04 21:47:00,Medium,Application,App_Team,1,0,621
190,2024-06-09 18:01:00,2024-06-09 18:11:00,High,Network,Support_Team,0,0,10
191,2024-02-18 22:17:00,2024-02-19 06:54:00,High,Application,DB_Team,1,0,517
192,2024-04-06 00:13:00,2024-04-06 05:46:00,Low,Security,Infra_Team,0,3,333
193,2024-05-15 02:43:00,2024-05-15 05:32:00,Medium,Access,DB_Team,1,0,169
194,2024-02-07 04:23:00,2024-02-07 22:23:00,Low,Database,DB_Team,1,0,1080
195,2024-01-14 09:07:00,2024-01-14 15:44:00,Low,Application,DB_Team,0,1,397
196,2024-06-09 21:33:00,2024-06-10 01:37:00,Medium,Network,Infra_Team,1,0,244
197,2024-05-29 18:19:00,2024-05-30 01:54:00,Low,Application,DB_Team,0,0,455
198,2024-05-13 08:17:00,2024-05-13 09:02:00,Medium,Security,DB_Team,0,0,45
199,2024-04-01 22:50:00,2024-04-02 11:24:00,Low,Database,Support_Team,1,1,754
200,2024-06-25 20:01:00,2024-06-27 11:18:00,Low,Application,Support_Team,1,0,2357
201,2024-03-01 07:37:00,2024-03-01 09:38:00,Medium,Application,App_Team,1,1,121
202,2024-02-20 12:20:00,2024-02-22 03:58:00,Low,Security,App_Team,1,0,2378
203,2024-01-25 21:09:00,2024-01-26 18:09:00,Medium,Application,Support_Team,1,0,1260
204,2024-05-11 16:18:00,2024-05-12 05:36:00,Medium,Security,Support_Team,1,0,798
205,2024-02-05 04:30:00,2024-02-07 15:58:00,Low,Database,App_Team,1,0,3568
206,2024-02-17 04:37:00,2024-02-17 14:18:00,Low,Network,DB_Team,0,1,581
207,2024-03-07 04:54:00,2024-03-07 16:48:00,Low,Network,DB_Team,1,0,714
208,2024-01-16 13:51:00,2024-01-16 21:07:00,Low,Application,Infra_Team,0,0,436
209,2024-06-07 06:22:00,2024-06-07 08:07:00,High,Application,Infra_Team,1,1,105
210,2024-04-05 08:38:00,2024-04-05 10:36:00,Medium,Application,App_Team,1,2,118
211,2024-06-08 13:10:00,2024-06-08 18:58:00,Medium,Database,Security_Team,1,0,348
212,2024-06-04 23:42:00,2024-06-05 02:12:00,Low,Network,DB_Team,0,0,150
213,2024-02-03 02:17:00,2024-02-03 03:09:00,High,Database,Support_Team,1,0,52
214,2024-04-28 21:40:00,2024-04-28 22:38:00,Low,Database,Support_Team,0,2,58
215,2024-03-14 07:56:00,2024-03-14 09:28:00,High,Application,Infra_Team,1,0,92
216,2024-04-11 19:08:00,2024-04-12 15:18:00,Low,Database,Infra_Team,1,0,1210
217,2024-03-03 00:03:00,2024-03-03 02:10:00,Low,Application,Infra_Team,0,2,127
218,2024-05-25 04:46:00,2024-05-25 07:21:00,High,Database,App_Team,1,0,155
219,2024-02-24 00:02:00,2024-02-24 06:32:00,Low,Application,Security_Team,0,2,390
220,2024-05-04 01:46:00,2024-05-04 01:49:00,High,Application,Security_Team,0,0,3
221,2024-05-10 02:30:00,2024-05-10 12:28:00,Medium,Network,Support_Team,1,1,598
222,2024-04-08 13:44:00,2024-04-08 15:32:00,High,Database,DB_Team,1,0,108
223,2024-05-13 01:58:00,2024-05-13 08:58:00,High,Application,Support_Team,1,1,420
224,2024-04-28 17:47:00,2024-04-29 01:22:00,Low,Application,Support_Team,0,0,455
225,2024-05-01 16:48:00,2024-05-01 20:37:00,Low,Application,Security_Team,0,0,229
226,2024-04-01 09:27:00,2024-04-02 09:27:00,Low,Network,Infra_Team,1,3,1440
227,2024-06-28 19:34:00,2024-06-29 13:09:00,Low,Application,Security_Team,1,2,1055
228,2024-05-31 14:20:00,2024-05-31 17:55:00,Medium,Application,Infra_Team,1,0,215
229,2024-06-05 08:20:00,2024-06-06 02:48:00,Medium,Application,Security_Team,1,0,1108
230,2024-03-23 03:13:00,2024-03-23 06:19:00,Low,Application,Security_Team,0,0,186
231,2024-04-30 13:58:00,2024-05-01 01:31:00,Low,Access,Security_Team,1,0,693
232,2024-02-04 21:51:00,2024-02-04 22:34:00,Medium,Network,App_Team,0,0,43
233,2024-02-07 02:54:00,2024-02-07 07:18:00,Medium,Application,Infra_Team,1,1,264
234,2024-05-02 16:32:00,2024-05-03 15:28:00,Low,Application,Support_Team,1,0,1376
235,2024-05-21 04:01:00,2024-05-21 13:53:00,Low,Access,DB_Team,0,1,592
236,2024-01-16 23:55:00,2024-01-17 00:46:00,Medium,Database,Security_Team,0,0,51
237,2024-05-22 11:30:00,2024-05-23 04:23:00,Low,Security,Infra_Team,1,0,1013
238,2024-05-01 07:53:00,2024-05-01 15:11:00,Medium,Application,Security_Team,1,0,438
239,2024-02-11 08:19:00,2024-02-11 09:11:00,Medium,Application,Security_Team,0,0,52
240,2024-05-19 00:01:00,2024-05-19 00:52:00,High,Network,Infra_Team,1,0,51
241,2024-01-26 19:00:00,2024-01-27 00:58:00,Low,Application,Infra_Team,0,0,358
242,2024-03-25 08:46:00,2024-03-26 12:54:00,Low,Application,Infra_Team,1,0,1688
243,2024-02-26 02:58:00,2024-02-26 07:17:00,Medium,Application,Support_Team,1,1,259
244,2024-04-06 11:52:00,2024-04-06 23:32:00,Low,Application,Support_Team,1,2,700
245,2024-06-18 10:03:00,2024-06-19 17:23:00,Low,Application,Security_Team,1,0,1880
246,2024-06-27 13:38:00,2024-06-27 17:13:00,Low,Application,Infra_Team,0,0,215
247,2024-05-24 09:12:00,2024-05-25 08:40:00,Medium,Network,Support_Team,1,0,1408
248,2024-02-26 18:29:00,2024-02-26 20:52:00,Medium,Application,Support_Team,1,0,143
249,2024-06-26 17:05:00,2024-06-26 20:22:00,Low,Security,Security_Team,0,0,197
250,2024-01-11 06:12:00,2024-01-11 07:01:00,Medium,Application,Support_Team,0,0,49
251,2024-04-14 02:55:00,2024-04-14 03:54:00,Medium,Network,DB_Team,0,0,59
252,2024-04-12 23:55:00,2024-04-13 01:57:00,High,Application,Support_Team,1,0,122
253,2024-03-25 05:01:00,2024-03-25 10:06:00,Low,Application,DB_Team,0,1,305
254,2024-06-27 21:36:00,2024-06-28 10:48:00,Low,Application,App_Team,1,0,792
255,2024-03-21 23:40:00,2024-03-22 00:05:00,High,Application,App_Team,1,0,25
256,2024-06-25 19:25:00,2024-06-25 21:38:00,Low,Application,Infra_Team,0,0,133
257,2024-05-12 22:58:00,2024-05-13 01:18:00,Low,Network,Security_Team,0,0,140
258,2024-01-18 18:33:00,2024-01-18 19:19:00,Medium,Database,Infra_Team,0,0,46
259,2024-03-08 20:10:00,2024-03-08 21:33:00,Medium,Application,DB_Team,1,0,83
260,2024-05-07 02:34:00,2024-05-07 03:58:00,High,Security,App_Team,1,0,84
261,2024-05-25 12:04:00,2024-05-25 12:32:00,Low,Application,DB_Team,0,1,28
262,2024-02-11 02:42:00,2024-02-11 03:43:00,Low,Security,DB_Team,0,2,61
263,2024-03-17 17:23:00,2024-03-17 19:19:00,Medium,Application,DB_Team,1,1,116
264,2024-04-28 20:19:00,2024-04-28 21:32:00,Medium,Database,Security_Team,1,0,73
265,2024-06-15 14:40:00,2024-06-15 20:13:00,Low,Security,Security_Team,0,0,333
266,2024-06-11 10:05:00,2024-06-11 21:38:00,Low,Application,DB_Team,1,0,693
267,2024-02-25 01:52:00,2024-02-25 09:19:00,Low,Database,Support_Team,0,1,447
268,2024-02-15 03:54:00,2024-02-15 05:38:00,Medium,Application,DB_Team,1,0,104
269,2024-03-11 07:12:00,2024-03-11 11:42:00,High,Application,Security_Team,1,0,270
270,2024-04-19 02:57:00,2024-04-19 07:30:00,Medium,Security,App_Team,1,0,273
271,2024-02-22 14:10:00,2024-02-22 17:43:00,Medium,Application,App_Team,1,0,213
272,2024-02-21 15:25:00,2024-02-21 18:44:00,Low,Application,App_Team,0,0,199
273,2024-03-03 18:25:00,2024-03-04 00:06:00,Low,Application,App_Team,0,0,341
274,2024-03-03 00:07:00,2024-03-03 04:46:00,Low,Security,Security_Team,0,0,279
275,2024-01-26 07:02:00,2024-01-26 07:49:00,High,Application,Security_Team,1,0,47
276,2024-01-21 16:21:00,2024-01-22 18:53:00,Low,Application,DB_Team,1,0,1592
277,2024-04-12 17:09:00,2024-04-12 23:58:00,Medium,Application,App_Team,1,1,409
278,2024-03-22 21:26:00,2024-03-22 21:36:00,High,Application,Security_Team,0,0,10
279,2024-04-12 05:57:00,2024-04-12 07:43:00,High,Security,DB_Team,1,1,106
280,2024-03-09 23:35:00,2024-03-10 01:13:00,Low,Database,Security_Team,0,0,98
281,2024-02-01 13:29:00,2024-02-01 14:23:00,High,Security,App_Team,1,0,54
282,2024-03-21 19:34:00,2024-03-22 05:42:00,Low,Access,DB_Team,1,0,608
283,2024-01-23 02:16:00,2024-01-24 04:06:00,Medium,Database,Infra_Team,1,0,1550
284,2024-02-04 10:27:00,2024-02-04 10:59:00,High,Application,Support_Team,1,0,32
285,2024-04-08 17:04:00,2024-04-08 19:03:00,Low,Application,App_Team,0,0,119
286,2024-02-25 22:27:00,2024-02-26 00:33:00,Low,Database,Security_Team,0,0,126
287,2024-02-17 07:16:00,2024-02-17 09:16:00,Medium,Application,Infra_Team,1,0,120
288,2024-03-17 14:28:00,2024-03-18 17:42:00,Low,Database,Infra_Team,1,0,1634
289,2024-06-24 18:47:00,2024-06-24 23:14:00,Medium,Application,App_Team,1,0,267
290,2024-03-03 06:28:00,2024-03-04 06:41:00,Medium,Network,DB_Team,1,0,1453
291,2024-02-13 07:32:00,2024-02-13 10:34:00,Medium,Security,DB_Team,1,2,182
292,2024-03-13 10:59:00,2024-03-13 14:33:00,Low,Application,DB_Team,0,0,214
293,2024-05-11 04:28:00,2024-05-11 11:05:00,Medium,Access,DB_Team,1,1,397
294,2024-02-09 08:50:00,2024-02-09 10:31:00,High,Database,Support_Team,1,0,101
295,2024-05-15 10:38:00,2024-05-16 04:14:00,Low,Network,App_Team,1,0,1056
296,2024-04-29 10:45:00,2024-04-29 15:26:00,Low,Application,Infra_Team,0,0,281
297,2024-01-30 08:43:00,2024-01-30 17:13:00,Low,Access,DB_Team,0,0,510
298,2024-04-19 00:07:00,2024-04-19 01:34:00,Low,Network,App_Team,0,0,87
299,2024-04-21 14:39:00,2024-04-21 16:41:00,Medium,Access,Infra_Team,1,0,122
300,2024-05-13 13:34:00,2024-05-13 15:34:00,Low,Application,DB_Team,0,0,120
